split,budget_frac,k,n_test,pos_rate_test,model,precision,recall,f1,num_features_used
1,0.1,1300,13002,0.11928934010152284,agent_prior,0.6592307692307692,0.5525467440361057,0.6011925640126271,1
1,0.1,1300,13002,0.11928934010152284,logit_agent_plus_early,0.6592307692307692,0.5525467440361057,0.6011925640126271,1
1,0.2,2600,13002,0.11928934010152284,agent_prior,0.53,0.8884590586718246,0.6639364008672609,1
1,0.2,2600,13002,0.11928934010152284,logit_agent_plus_early,0.53,0.8884590586718246,0.6639364008672609,1
2,0.1,351,3510,0.39145299145299145,agent_prior,0.7435897435897436,0.18995633187772926,0.3026086956521739,1
2,0.1,351,3510,0.39145299145299145,logit_agent_plus_early,0.7435897435897436,0.18995633187772926,0.3026086956521739,1
2,0.2,702,3510,0.39145299145299145,agent_prior,0.6709401709401709,0.34279475982532753,0.45375722543352603,1
2,0.2,702,3510,0.39145299145299145,logit_agent_plus_early,0.6709401709401709,0.34279475982532753,0.45375722543352603,1
3,0.1,465,4649,0.31727253172725317,agent_prior,0.45376344086021503,0.1430508474576271,0.2175257731958763,1
3,0.1,465,4649,0.31727253172725317,logit_agent_plus_early,0.45376344086021503,0.1430508474576271,0.2175257731958763,1
3,0.2,930,4649,0.31727253172725317,agent_prior,0.4817204301075269,0.303728813559322,0.3725571725571726,1
3,0.2,930,4649,0.31727253172725317,logit_agent_plus_early,0.4817204301075269,0.303728813559322,0.3725571725571726,1
4,0.1,426,4257,0.3704486727742542,agent_prior,0.5868544600938967,0.15852885225110971,0.24962556165751373,1
4,0.1,426,4257,0.3704486727742542,logit_agent_plus_early,0.5868544600938967,0.15852885225110971,0.24962556165751373,1
4,0.2,851,4257,0.3704486727742542,agent_prior,0.6051703877790834,0.32656943563728597,0.4242174629324547,1
4,0.2,851,4257,0.3704486727742542,logit_agent_plus_early,0.6051703877790834,0.32656943563728597,0.4242174629324547,1
5,0.1,369,3690,0.3241192411924119,agent_prior,0.5474254742547425,0.1688963210702341,0.25814696485623,1
5,0.1,369,3690,0.3241192411924119,logit_agent_plus_early,0.5474254742547425,0.1688963210702341,0.25814696485623,1
5,0.2,738,3690,0.3241192411924119,agent_prior,0.5365853658536586,0.3311036789297659,0.4095139607032058,1
5,0.2,738,3690,0.3241192411924119,logit_agent_plus_early,0.5365853658536586,0.3311036789297659,0.4095139607032058,1
6,0.1,1267,12666,0.10011053213327017,agent_prior,0.5209155485398579,0.5205047318611987,0.5207100591715976,1
6,0.1,1267,12666,0.10011053213327017,logit_agent_plus_early,0.5209155485398579,0.5205047318611987,0.5207100591715976,1
6,0.2,2533,12666,0.10011053213327017,agent_prior,0.40307935254638766,0.805205047318612,0.5372270455143383,1
6,0.2,2533,12666,0.10011053213327017,logit_agent_plus_early,0.40307935254638766,0.805205047318612,0.5372270455143383,1
7,0.1,429,4287,0.37182178679729416,agent_prior,0.6899766899766899,0.18569636135508155,0.2926347009391992,1
7,0.1,429,4287,0.37182178679729416,logit_agent_plus_early,0.6899766899766899,0.18569636135508155,0.2926347009391992,1
7,0.2,857,4287,0.37182178679729416,agent_prior,0.6196032672112018,0.3331242158092848,0.43329253365973075,1
7,0.2,857,4287,0.37182178679729416,logit_agent_plus_early,0.6196032672112018,0.3331242158092848,0.43329253365973075,1
8,0.1,1351,13506,0.1286835480527173,agent_prior,0.7054034048852702,0.5483314154200231,0.617028164454516,1
8,0.1,1351,13506,0.1286835480527173,logit_agent_plus_early,0.7054034048852702,0.5483314154200231,0.617028164454516,1
8,0.2,2701,13506,0.1286835480527173,agent_prior,0.5583117363939282,0.8676639815880323,0.679432304573102,1
8,0.2,2701,13506,0.1286835480527173,logit_agent_plus_early,0.5583117363939282,0.8676639815880323,0.679432304573102,1
9,0.1,415,4149,0.4217883827428296,agent_prior,0.7228915662650602,0.17142857142857143,0.27713625866050806,1
9,0.1,415,4149,0.4217883827428296,logit_agent_plus_early,0.7228915662650602,0.17142857142857143,0.27713625866050806,1
9,0.2,830,4149,0.4217883827428296,agent_prior,0.5975903614457831,0.2834285714285714,0.38449612403100775,1
9,0.2,830,4149,0.4217883827428296,logit_agent_plus_early,0.5975903614457831,0.2834285714285714,0.38449612403100775,1
10,0.1,398,3977,0.4254463163188333,agent_prior,0.7361809045226131,0.1731678486997636,0.28038277511961723,1
10,0.1,398,3977,0.4254463163188333,logit_agent_plus_early,0.7361809045226131,0.1731678486997636,0.28038277511961723,1
10,0.2,795,3977,0.4254463163188333,agent_prior,0.690566037735849,0.324468085106383,0.44149577804583834,1
10,0.2,795,3977,0.4254463163188333,logit_agent_plus_early,0.690566037735849,0.324468085106383,0.44149577804583834,1
11,0.1,1260,12598,0.08818860136529608,agent_prior,0.5746031746031746,0.6516651665166516,0.6107127794179671,1
11,0.1,1260,12598,0.08818860136529608,logit_agent_plus_early,0.5746031746031746,0.6516651665166516,0.6107127794179671,1
11,0.2,2520,12598,0.08818860136529608,agent_prior,0.38015873015873014,0.8622862286228623,0.527678325530157,1
11,0.2,2520,12598,0.08818860136529608,logit_agent_plus_early,0.38015873015873014,0.8622862286228623,0.527678325530157,1
12,0.1,832,8325,0.230990990990991,agent_prior,0.6081730769230769,0.2631305252210088,0.36733212341197824,1
12,0.1,832,8325,0.230990990990991,logit_agent_plus_early,0.6081730769230769,0.2631305252210088,0.36733212341197824,1
12,0.2,1665,8325,0.230990990990991,agent_prior,0.6228228228228229,0.5392615704628185,0.5780379041248607,1
12,0.2,1665,8325,0.230990990990991,logit_agent_plus_early,0.6228228228228229,0.5392615704628185,0.5780379041248607,1
13,0.1,729,7289,0.2269172726025518,agent_prior,0.7366255144032922,0.32466747279322855,0.4506924045321024,1
13,0.1,729,7289,0.2269172726025518,logit_agent_plus_early,0.7366255144032922,0.32466747279322855,0.4506924045321024,1
13,0.2,1458,7289,0.2269172726025518,agent_prior,0.7064471879286695,0.6227327690447401,0.6619537275064268,1
13,0.2,1458,7289,0.2269172726025518,logit_agent_plus_early,0.7064471879286695,0.6227327690447401,0.6619537275064268,1
14,0.1,423,4226,0.5134879318504496,agent_prior,0.6855791962174941,0.1336405529953917,0.2236791361357501,1
14,0.1,423,4226,0.5134879318504496,logit_agent_plus_early,0.6855791962174941,0.1336405529953917,0.2236791361357501,1
14,0.2,845,4226,0.5134879318504496,agent_prior,0.7254437869822485,0.2824884792626728,0.4066334991708126,1
14,0.2,845,4226,0.5134879318504496,logit_agent_plus_early,0.7254437869822485,0.2824884792626728,0.4066334991708126,1
15,0.1,821,8210,0.22801461632155906,agent_prior,0.6516443361753959,0.2857905982905983,0.3973264017823988,1
15,0.1,821,8210,0.22801461632155906,logit_agent_plus_early,0.6516443361753959,0.2857905982905983,0.3973264017823988,1
15,0.2,1642,8210,0.22801461632155906,agent_prior,0.6595615103532277,0.5785256410256411,0.6163915765509391,1
15,0.2,1642,8210,0.22801461632155906,logit_agent_plus_early,0.6595615103532277,0.5785256410256411,0.6163915765509391,1
16,0.1,326,3256,0.37776412776412777,agent_prior,0.5214723926380368,0.13821138211382114,0.2185089974293059,1
16,0.1,326,3256,0.37776412776412777,logit_agent_plus_early,0.5214723926380368,0.13821138211382114,0.2185089974293059,1
16,0.2,651,3256,0.37776412776412777,agent_prior,0.5944700460829493,0.3146341463414634,0.41148325358851673,1
16,0.2,651,3256,0.37776412776412777,logit_agent_plus_early,0.5944700460829493,0.3146341463414634,0.41148325358851673,1
17,0.1,790,7901,0.23186938362232629,agent_prior,0.5848101265822785,0.2521834061135371,0.3524027459954233,1
17,0.1,790,7901,0.23186938362232629,logit_agent_plus_early,0.5848101265822785,0.2521834061135371,0.3524027459954233,1
17,0.2,1580,7901,0.23186938362232629,agent_prior,0.6145569620253165,0.5300218340611353,0.5691676436107854,1
17,0.2,1580,7901,0.23186938362232629,logit_agent_plus_early,0.6145569620253165,0.5300218340611353,0.5691676436107854,1
18,0.1,468,4684,0.4543125533731853,agent_prior,0.7927350427350427,0.17434210526315788,0.28582434514637906,1
18,0.1,468,4684,0.4543125533731853,logit_agent_plus_early,0.7927350427350427,0.17434210526315788,0.28582434514637906,1
18,0.2,937,4684,0.4543125533731853,agent_prior,0.7801494130202775,0.34351503759398494,0.4769983686786297,1
18,0.2,937,4684,0.4543125533731853,logit_agent_plus_early,0.7801494130202775,0.34351503759398494,0.4769983686786297,1
19,0.1,443,4427,0.3259543709058053,agent_prior,0.5981941309255079,0.18364518364518365,0.28101802757158006,1
19,0.1,443,4427,0.3259543709058053,logit_agent_plus_early,0.5981941309255079,0.18364518364518365,0.28101802757158006,1
19,0.2,885,4427,0.3259543709058053,agent_prior,0.5491525423728814,0.3367983367983368,0.4175257731958763,1
19,0.2,885,4427,0.3259543709058053,logit_agent_plus_early,0.5491525423728814,0.3367983367983368,0.4175257731958763,1
20,0.1,772,7718,0.24384555584348278,agent_prior,0.6295336787564767,0.25823591923485656,0.36623963828183875,1
20,0.1,772,7718,0.24384555584348278,logit_agent_plus_early,0.6295336787564767,0.25823591923485656,0.36623963828183875,1
20,0.2,1544,7718,0.24384555584348278,agent_prior,0.6081606217616581,0.4989373007438895,0.5481611208406305,1
20,0.2,1544,7718,0.24384555584348278,logit_agent_plus_early,0.6081606217616581,0.4989373007438895,0.5481611208406305,1
21,0.1,371,3711,0.39854486661277283,agent_prior,0.5606469002695418,0.14063556457065585,0.22486486486486487,1
21,0.1,371,3711,0.39854486661277283,logit_agent_plus_early,0.5606469002695418,0.14063556457065585,0.22486486486486487,1
21,0.2,742,3711,0.39854486661277283,agent_prior,0.628032345013477,0.31507775524002707,0.41963079693831606,1
21,0.2,742,3711,0.39854486661277283,logit_agent_plus_early,0.628032345013477,0.31507775524002707,0.41963079693831606,1
22,0.1,337,3369,0.43098842386464825,agent_prior,0.6884272997032641,0.15977961432506887,0.25936277249860257,1
22,0.1,337,3369,0.43098842386464825,logit_agent_plus_early,0.6884272997032641,0.15977961432506887,0.25936277249860257,1
22,0.2,674,3369,0.43098842386464825,agent_prior,0.7091988130563798,0.32920110192837465,0.44967074317968014,1
22,0.2,674,3369,0.43098842386464825,logit_agent_plus_early,0.7091988130563798,0.32920110192837465,0.44967074317968014,1
23,0.1,840,8403,0.27359276448887304,agent_prior,0.6857142857142857,0.2505437146585472,0.3669958585536795,1
23,0.1,840,8403,0.27359276448887304,logit_agent_plus_early,0.6857142857142857,0.2505437146585472,0.3669958585536795,1
23,0.2,1681,8403,0.27359276448887304,agent_prior,0.7531231409875074,0.5506742061765986,0.6361809045226131,1
23,0.2,1681,8403,0.27359276448887304,logit_agent_plus_early,0.7531231409875074,0.5506742061765986,0.6361809045226131,1
24,0.1,395,3952,0.36639676113360325,agent_prior,0.6886075949367089,0.1878453038674033,0.2951709169831796,1
24,0.1,395,3952,0.36639676113360325,logit_agent_plus_early,0.6886075949367089,0.1878453038674033,0.2951709169831796,1
24,0.2,790,3952,0.36639676113360325,agent_prior,0.689873417721519,0.3763812154696133,0.4870420017873101,1
24,0.2,790,3952,0.36639676113360325,logit_agent_plus_early,0.689873417721519,0.3763812154696133,0.4870420017873101,1
25,0.1,391,3908,0.48950870010235414,agent_prior,0.7800511508951407,0.15943544171458443,0.2647569444444444,1
25,0.1,391,3908,0.48950870010235414,logit_agent_plus_early,0.7800511508951407,0.15943544171458443,0.2647569444444444,1
25,0.2,782,3908,0.48950870010235414,agent_prior,0.7736572890025576,0.316257187663356,0.4489795918367347,1
25,0.2,782,3908,0.48950870010235414,logit_agent_plus_early,0.7736572890025576,0.316257187663356,0.4489795918367347,1
26,0.1,807,8071,0.24544666088464875,agent_prior,0.6555142503097894,0.2670368500757193,0.3794835007173601,1
26,0.1,807,8071,0.24544666088464875,logit_agent_plus_early,0.6555142503097894,0.2670368500757193,0.3794835007173601,1
26,0.2,1614,8071,0.24544666088464875,agent_prior,0.6319702602230484,0.5148914689550732,0.5674547983310153,1
26,0.2,1614,8071,0.24544666088464875,logit_agent_plus_early,0.6319702602230484,0.5148914689550732,0.5674547983310153,1
27,0.1,765,7654,0.2427488894695584,agent_prior,0.7581699346405228,0.31216361679224974,0.44224170796797563,1
27,0.1,765,7654,0.2427488894695584,logit_agent_plus_early,0.7581699346405228,0.31216361679224974,0.44224170796797563,1
27,0.2,1531,7654,0.2427488894695584,agent_prior,0.7322011757021555,0.6033369214208827,0.6615520802596636,1
27,0.2,1531,7654,0.2427488894695584,logit_agent_plus_early,0.7322011757021555,0.6033369214208827,0.6615520802596636,1
28,0.1,1325,13250,0.1099622641509434,agent_prior,0.6045283018867924,0.5497597803706246,0.5758447160316319,1
28,0.1,1325,13250,0.1099622641509434,logit_agent_plus_early,0.6045283018867924,0.5497597803706246,0.5758447160316319,1
28,0.2,2650,13250,0.1099622641509434,agent_prior,0.4532075471698113,0.824296499656829,0.584855125395666,1
28,0.2,2650,13250,0.1099622641509434,logit_agent_plus_early,0.4532075471698113,0.824296499656829,0.584855125395666,1
29,0.1,387,3872,0.32231404958677684,agent_prior,0.34366925064599485,0.10657051282051282,0.16269113149847095,1
29,0.1,387,3872,0.32231404958677684,logit_agent_plus_early,0.34366925064599485,0.10657051282051282,0.16269113149847095,1
29,0.2,774,3872,0.32231404958677684,agent_prior,0.458656330749354,0.2844551282051282,0.35113748763600394,1
29,0.2,774,3872,0.32231404958677684,logit_agent_plus_early,0.458656330749354,0.2844551282051282,0.35113748763600394,1
30,0.1,387,3870,0.43281653746770027,agent_prior,0.5167958656330749,0.11940298507462686,0.19398642095053345,1
30,0.1,387,3870,0.43281653746770027,logit_agent_plus_early,0.5167958656330749,0.11940298507462686,0.19398642095053345,1
30,0.2,774,3870,0.43281653746770027,agent_prior,0.5788113695090439,0.26746268656716415,0.365863617803185,1
30,0.2,774,3870,0.43281653746770027,logit_agent_plus_early,0.5788113695090439,0.26746268656716415,0.365863617803185,1
